scope_type,scope_value,macro_feature,macro_gate,overlay_name,source_stage31c_rank_score,source_stage31c_decision,base_scope_events,base_events,base_pf_x4,base_pf_x6,base_total_x4,base_total_x6,base_win_rate_x4,base_median_x4,base_avg_x4,confirmed_events,confirmed_pf_x4,confirmed_pf_x6,confirmed_total_x4,confirmed_total_x6,confirmed_win_rate_x4,confirmed_median_x4,confirmed_avg_x4,years_tested,years_positive_x4,min_year_events,year_total_min,boot_p05_total_x4,boot_p05_total_x6,stress_0.05_total_x4,stress_0.05_pf_x4,stress_0.10_total_x4,stress_0.10_pf_x4,stress_0.20_total_x4,stress_0.20_pf_x4,lift_pf_x4,lift_total_x4,decision,rank_score
candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_rank250,real_yield_rank250_le_q20,london_q40_prior_q30,142.54093617499998,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,50,22.785562557530273,16.679116674046316,209.22069999999997,174.22070000000002,0.96,2.25143,4.184413999999999,4,4,4,11.983800000000004,143.88606199999998,106.96845900000004,206.72070000000002,22.30341809877531,204.2207,21.83110966946971,199.22070000000002,20.914821005154124,19.934150252164113,-46.01052000000004,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,248.66553828765137
family,london_oneway_continuation,real_yield_rank250,real_yield_rank250_le_q20,london_q40_prior_q30,142.684860625,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,50,22.785562557530273,16.679116674046316,209.22069999999997,174.22070000000002,0.96,2.25143,4.184413999999999,4,4,4,11.983800000000004,142.654208,106.96715850000001,206.72070000000002,22.30341809877531,204.2207,21.83110966946971,199.22070000000002,20.914821005154124,19.934150252164113,-46.01052000000004,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,248.35757478765134
family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,130.2195683,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,56,23.372582298475862,13.837827189730126,159.7644,120.56440000000002,0.9642857142857143,1.5010000000000001,2.852935714285714,4,4,2,15.105780000000003,99.40084300000001,58.865475000000025,156.9644,22.67693217033923,154.1644,22.000234297950716,148.5644,20.700679478271017,20.5211699931097,-95.46682000000001,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,226.1224422423793
candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,130.2996321,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,56,23.372582298475862,13.837827189730126,159.7644,120.56440000000002,0.9642857142857143,1.5010000000000001,2.852935714285714,4,4,2,15.105780000000003,98.73048650000001,62.00055100000002,156.9644,22.67693217033923,154.1644,22.000234297950716,148.5644,20.700679478271017,20.5211699931097,-95.46682000000001,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,225.9548531173793
family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,139.020692625,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,44,19.851742078184355,14.66287890690248,196.02983999999998,165.22984000000002,0.9545454545454546,2.4734300000000005,4.455223636363636,3,3,4,16.574380000000005,132.52129050000002,93.131915,193.82984,19.46262227937325,191.62984000000003,19.080845402651324,187.22984000000002,18.338504421910454,17.000329772818194,-59.20138000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,218.71798501592178
candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,138.4308006,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,44,19.851742078184355,14.66287890690248,196.02983999999998,165.22984000000002,0.9545454545454546,2.4734300000000005,4.455223636363636,3,3,4,16.574380000000005,132.30472,94.03581250000002,193.82984,19.46262227937325,191.62984000000003,19.080845402651324,187.22984000000002,18.338504421910454,17.000329772818194,-59.20138000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,218.6638423909218
candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,macro_only,134.9504511,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,38,20.64307075233974,15.726488689197394,188.64497999999998,162.04498,0.9473684210526315,2.6954300000000004,4.9643415789473675,3,3,4,14.883800000000004,127.03587650000001,95.221504,186.74498,20.24483801954731,184.84498000000002,19.85472946783032,181.04498,19.09791036062873,17.791658446973578,-66.58624000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,218.6078168866987
candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,135.477654225,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,38,20.64307075233974,15.726488689197394,188.64497999999998,162.04498,0.9473684210526315,2.6954300000000004,4.9643415789473675,3,3,4,14.883800000000004,124.14577150000001,98.1238925,186.74498,20.24483801954731,184.84498000000002,19.85472946783032,181.04498,19.09791036062873,17.791658446973578,-66.58624000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,217.88529063669873
family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,macro_only,135.732881625,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,38,20.64307075233974,15.726488689197394,188.64497999999998,162.04498,0.9473684210526315,2.6954300000000004,4.9643415789473675,3,3,4,14.883800000000004,122.5827775,96.531051,186.74498,20.24483801954731,184.84498000000002,19.85472946783032,181.04498,19.09791036062873,17.791658446973578,-66.58624000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,217.4945421366987
family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,135.604273725,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,200,200,2.851412305366162,1.6534217890241731,255.23122,115.23122000000006,0.81,1.0293600000000005,1.2761561000000001,38,20.64307075233974,15.726488689197394,188.64497999999998,162.04498,0.9473684210526315,2.6954300000000004,4.9643415789473675,3,3,4,14.883800000000004,121.66848200000001,95.81712000000003,186.74498,20.24483801954731,184.84498000000002,19.85472946783032,181.04498,19.09791036062873,17.791658446973578,-66.58624000000003,STAGE31D_FRAGILE_CONFIRMED_DIAGNOSTIC_ONLY,217.2659682616987
