candidate_id,entry_time_utc,exit_time_utc,year,month,direction,entry_price,exit_price,gross_bps,stress_net_bps,entry_spread_cost_bps,h1_range_bps,h1_threshold_bps
S49_MTF_H1W72_P85_M15S20_M5S20_H12,2022-05-05T13:00:00Z,2022-05-05T14:00:00Z,2022,2022-05,LONG,1906.65,1891.81,-77.83284818923319,-80.81485192238691,2.622400545459313,65.71494503650233,39.6901803224209
S49_MTF_H1W72_P85_M15S20_M5S20_H12,2022-05-05T14:00:00Z,2022-05-05T15:00:00Z,2022,2022-05,SHORT,1891.81,1883.81,42.28754473229341,39.30554099913969,2.6429715457683383,81.69641443514433,41.49758067498796
S49_MTF_H1W72_P85_M15S20_M5S20_H12,2022-05-05T15:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1883.81,1874.22,50.907469436938534,47.92546570378481,2.6541954868059943,66.11666648993153,44.895552522649695
S49_MTF_H1W72_P85_M15S20_M5S20_H12,2022-05-05T16:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,SHORT,1874.22,1878.51,-22.88952204116893,-25.871525774322652,2.6677764616747233,63.36405529953854,47.65342418935025
S49_MTF_H1W72_P85_M15S20_M5S20_H12,2022-05-06T09:00:00Z,2022-05-06T10:00:00Z,2022,2022-05,LONG,1880.64,1882.94,12.229879190062714,9.247875456908993,2.658669389144121,46.07658172348775,41.49758067498796
S49_MTF_H1W120_P85_M15S20_M5S20_H12,2022-05-09T13:00:00Z,2022-05-09T14:00:00Z,2022,2022-05,LONG,1867.03,1864.24,-14.943519922014984,-17.925523655168707,2.6780501652356956,51.118930632737424,42.78896340670265
S49_MTF_H1W120_P85_M15S20_M5S20_H12,2022-05-09T15:00:00Z,2022-05-09T16:00:00Z,2022,2022-05,SHORT,1861.57,1859.9,8.970922393462752,5.9889186603090305,2.6859049082226294,45.690818295678724,45.07859658837789
S49_MTF_H1W120_P85_M15S20_M5S20_H12,2022-05-10T14:00:00Z,2022-05-10T15:00:00Z,2022,2022-05,SHORT,1857.41,1846.94,56.36881463974043,53.3868109065867,2.6919204699016372,51.051455343439606,42.78896340670265
S49_MTF_H1W120_P85_M15S20_M5S20_H12,2022-05-10T15:00:00Z,2022-05-10T16:00:00Z,2022,2022-05,SHORT,1846.94,1844.18,14.943636501456414,11.961632768302692,2.7071805256261707,78.1735712779705,44.04872584499063
S49_MTF_H1W120_P85_M15S20_M5S20_H12,2022-05-10T16:00:00Z,2022-05-10T17:00:00Z,2022,2022-05,SHORT,1844.18,1845.08,-4.880217766160914,-7.862221499314636,2.7112320923120303,47.446561615460524,45.02073207420654
S49_MTF_H1W120_P75_M15S40_M5S20_H48,2022-05-09T09:00:00Z,2022-05-09T13:00:00Z,2022,2022-05,SHORT,1866.02,1867.03,-5.4125893613144065,-8.394593094468128,2.6794996838190372,42.40377398949331,35.02723837904509
S49_MTF_H1W120_P75_M15S40_M5S20_H48,2022-05-09T11:00:00Z,2022-05-09T15:00:00Z,2022,2022-05,SHORT,1858.41,1861.57,-17.00378280357862,-19.98578653673234,2.690471962591678,42.59323993654076,35.02723837904509
S49_MTF_H1W120_P75_M15S40_M5S20_H48,2022-05-09T14:00:00Z,2022-05-09T18:00:00Z,2022,2022-05,SHORT,1864.24,1857.26,37.44153113333057,34.459527400176846,2.6820581041067677,54.155306039201776,36.248381625661864
S49_MTF_H1W120_P75_M15S40_M5S20_H48,2022-05-09T15:00:00Z,2022-05-09T19:00:00Z,2022,2022-05,SHORT,1861.57,1854.54,37.76382300961002,34.7818192764563,2.6859049082226294,45.690818295678724,36.460619122989556
