mechanism,side,event_utc,entry_utc,exit_utc,horizon_bars,entry_price,exit_price,ret_usd,win,mfe_max_h,mae_max_h,ref_level,context,net_x1,event_dt,entry_dt,event_bar_utc,event_hour,event_session,event_open,event_high,event_low,event_close,event_range,body,lower_wick,upper_wick,lower_wick_to_range,lower_wick_to_body,close_position_in_range,sweep_depth,reclaim_above_ref,sweep_depth_atr,atr96,atr_pct_rank_252,pdh,pdl,prior_mid,prior_range,event_close_below_prior_mid,event_close_above_prior_mid,bars_since_first_breach,h4_close,h4_sma20,h4_slope3,h4_up_context,h4_slope_positive,year,quarter,net_x1_original,replay_status,exit_dt,time_exit_price,time_exit_ret,mfe,mae,time_exit_net_x1,time_exit_net_x2,time_exit_net_x4
prev_day_low_sweep_rejection,LONG,2022-05-12T17:15:00+00:00,2022-05-12T17:30:00+0000,2022-05-12T18:30:00+00:00,4,1835.63,1824.84,-10.79,0,1.28,25.38,1835.3,pdh=1865.24;pdl=1835.30,-11.14,2022-05-12 17:15:00+00:00,2022-05-12 17:30:00+00:00,2022-05-12T17:15:00+00:00,17,new_york,1834.53,1836.17,1833.06,1835.63,3.110000000000128,1.1000000000001364,1.4700000000000273,0.5399999999999636,0.4726688102893785,1.3363636363634954,0.8263665594855494,2.240000000000009,0.3300000000001546,0.7918692001767599,2.8287499999999994,0.6944444444444444,1865.24,1835.3,1850.27,29.94000000000005,1,0,2,1835.41,1850.131,-4.861499999999751,0,0,2022,2022Q2,-11.139999999999999,ok,2022-05-12T18:30:00+00:00,1824.84,-10.79,1.28,13.48,-11.139999999999999,-11.489999999999998,-12.19
prev_day_low_sweep_rejection,LONG,2022-05-16T09:15:00+00:00,2022-05-16T09:30:00+0000,2022-05-16T10:30:00+00:00,4,1800.17,1804.83,4.66,1,14.24,4.49,1798.91,pdh=1828.56;pdl=1798.91,4.3100000000000005,2022-05-16 09:15:00+00:00,2022-05-16 09:30:00+00:00,2022-05-16T09:15:00+00:00,9,london,1794.92,1800.25,1792.72,1800.23,7.529999999999973,5.309999999999945,2.200000000000045,0.0199999999999818,0.2921646746348013,0.414312617702461,0.9973439575033224,6.190000000000055,1.3199999999999363,2.04924477550177,3.0206250000000097,0.7698412698412699,1828.56,1798.91,1813.735,29.649999999999864,1,0,2,1792.77,1830.8665,-4.900000000000091,0,0,2022,2022Q2,4.3100000000000005,ok,2022-05-16T10:30:00+00:00,1804.83,4.66,6.27,4.49,4.3100000000000005,3.96,3.2600000000000002
prev_day_low_sweep_rejection,LONG,2022-05-25T17:00:00+00:00,2022-05-25T17:15:00+0000,2022-05-25T18:15:00+00:00,4,1845.93,1845.64,-0.29,0,10.21,2.73,1845.43,pdh=1865.08;pdl=1845.43,-0.6399999999999999,2022-05-25 17:00:00+00:00,2022-05-25 17:15:00+00:00,2022-05-25T17:00:00+00:00,17,new_york,1847.63,1848.17,1841.24,1845.92,6.930000000000064,1.7100000000000364,4.680000000000064,0.5399999999999636,0.6753246753246783,2.736842105263137,0.6753246753246783,4.190000000000055,0.4900000000000091,2.066265988596112,2.027812500000001,0.5317460317460317,1865.08,1845.43,1855.255,19.649999999999864,1,0,0,1845.63,1855.205,1.5864999999998872,0,1,2022,2022Q2,-0.6399999999999999,ok,2022-05-25T18:15:00+00:00,1845.64,-0.29,0.5,2.73,-0.6399999999999999,-0.99,-1.69
prev_day_low_sweep_rejection,LONG,2022-06-06T16:00:00+00:00,2022-06-06T16:15:00+0000,2022-06-06T17:15:00+00:00,4,1847.66,1842.67,-4.99,0,0.05,7.31,1847.15,pdh=1873.86;pdl=1847.15,-5.34,2022-06-06 16:00:00+00:00,2022-06-06 16:15:00+00:00,2022-06-06T16:00:00+00:00,16,new_york,1846.16,1848.54,1845.45,1847.64,3.089999999999918,1.4800000000000182,0.7100000000000364,0.8999999999998636,0.2297734627831893,0.4797297297297484,0.7087378640777063,1.7000000000000457,0.4900000000000091,0.8999669129811672,1.888958333333328,0.5,1873.86,1847.15,1860.505,26.70999999999981,1,0,3,1843.35,1854.083,2.1340000000000146,0,1,2022,2022Q2,-5.34,ok,2022-06-06T17:15:00+00:00,1842.67,-4.99,-2.72,6.25,-5.34,-5.69,-6.390000000000001
prev_day_low_sweep_rejection,LONG,2022-06-07T11:45:00+00:00,2022-06-07T12:00:00+0000,2022-06-07T13:00:00+00:00,4,1850.04,1847.05,-2.99,0,3.31,7.87,1849.46,pdh=1852.39;pdl=1849.46,-3.3400000000000003,2022-06-07 11:45:00+00:00,2022-06-07 12:00:00+00:00,2022-06-07T11:45:00+00:00,11,london,1847.45,1850.11,1847.26,1850.05,2.849999999999909,2.599999999999909,0.1900000000000545,0.0599999999999454,0.0666666666666879,0.0730769230769466,0.9789473684210712,2.200000000000045,0.5899999999999181,1.2085145342183865,1.82041666666666,0.5357142857142857,1852.39,1849.46,1850.925,2.930000000000064,1,0,47,1841.92,1853.84,-0.8614999999997508,0,0,2022,2022Q2,-3.3400000000000003,ok,2022-06-07T13:00:00+00:00,1847.05,-2.99,0.87,3.08,-3.3400000000000003,-3.6900000000000004,-4.390000000000001
prev_day_low_sweep_rejection,LONG,2022-06-24T02:15:00+00:00,2022-06-24T02:30:00+0000,2022-06-24T03:30:00+00:00,4,1823.48,1825.09,1.61,1,3.39,2.49,1823.19,pdh=1847.67;pdl=1823.19,1.2600000000000002,2022-06-24 02:15:00+00:00,2022-06-24 02:30:00+00:00,2022-06-24T02:15:00+00:00,2,asia,1823.36,1824.03,1821.5,1823.48,2.5299999999999727,0.1200000000001182,1.8599999999999,0.5499999999999545,0.7351778656126166,15.499999999983894,0.7826086956521895,1.6900000000000546,0.2899999999999636,0.7968957217938211,2.1207291666666825,0.4325396825396825,1847.67,1823.19,1835.43,24.48000000000001,1,0,8,1824.44,1833.486,-1.606999999999971,0,0,2022,2022Q2,1.2600000000000002,ok,2022-06-24T03:30:00+00:00,1825.09,1.61,1.67,0.85,1.2600000000000002,0.9100000000000001,0.2100000000000002
prev_day_low_sweep_rejection,LONG,2022-07-15T12:00:00+00:00,2022-07-15T12:15:00+0000,2022-07-15T13:15:00+00:00,4,1707.39,1705.68,-1.71,0,6.43,8.48,1707.21,pdh=1745.26;pdl=1707.21,-2.06,2022-07-15 12:00:00+00:00,2022-07-15 12:15:00+00:00,2022-07-15T12:00:00+00:00,12,london,1704.05,1707.4,1703.68,1707.4,3.7200000000000273,3.3500000000001364,0.3699999999998908,0.0,0.0994623655913677,0.1104477611939927,1.0,3.5299999999999727,0.1900000000000545,1.343802046157496,2.6268750000000005,0.3809523809523809,1745.26,1707.21,1726.235,38.04999999999996,1,0,19,1704.34,1722.4295000000002,-4.117999999999938,0,0,2022,2022Q3,-2.06,ok,2022-07-15T13:15:00+00:00,1705.68,-1.71,-0.15,3.35,-2.06,-2.41,-3.11
prev_day_low_sweep_rejection,LONG,2022-07-21T14:00:00+00:00,2022-07-21T14:15:00+0000,2022-07-21T15:15:00+00:00,4,1705.82,1703.76,-2.06,0,12.41,12.85,1705.13,pdh=1718.30;pdl=1705.13,-2.41,2022-07-21 14:00:00+00:00,2022-07-21 14:15:00+00:00,2022-07-21T14:00:00+00:00,14,new_york,1699.15,1707.71,1699.15,1705.77,8.559999999999945,6.619999999999891,0.0,1.9400000000000543,0.0,0.0,0.7733644859813006,5.980000000000018,0.6399999999998727,2.630136986301381,2.273645833333331,1.0,1718.3,1705.13,1711.715,13.169999999999844,1,0,56,1684.76,1706.089,-3.2780000000002474,0,0,2022,2022Q3,-2.41,ok,2022-07-21T15:15:00+00:00,1703.76,-2.06,3.63,12.85,-2.41,-2.76,-3.46
prev_day_low_sweep_rejection,LONG,2022-07-26T02:30:00+00:00,2022-07-26T02:45:00+0000,2022-07-26T03:45:00+00:00,4,1725.7,1727.08,1.38,1,2.37,4.8,1725.32,pdh=1726.89;pdl=1725.32,1.0299999999999998,2022-07-26 02:30:00+00:00,2022-07-26 02:45:00+00:00,2022-07-26T02:30:00+00:00,2,asia,1722.96,1727.72,1722.88,1725.72,4.839999999999918,2.759999999999991,0.0799999999999272,2.0,0.0165289256198199,0.0289855072463505,0.5867768595041253,2.439999999999827,0.4000000000000909,1.2928579313389046,1.887291666666672,0.0634920634920634,1726.89,1725.32,1726.105,1.5700000000001637,1,0,10,1718.9,1713.8335,1.5550000000000637,1,1,2022,2022Q3,1.0299999999999998,ok,2022-07-26T03:45:00+00:00,1727.08,1.38,2.37,0.66,1.0299999999999998,0.6799999999999999,-0.020000000000000018
prev_day_low_sweep_rejection,LONG,2022-08-15T13:30:00+00:00,2022-08-15T13:45:00+0000,2022-08-15T14:45:00+00:00,4,1785.31,1776.97,-8.34,0,0.23,10.38,1784.72,pdh=1801.96;pdl=1784.72,-8.69,2022-08-15 13:30:00+00:00,2022-08-15 13:45:00+00:00,2022-08-15T13:30:00+00:00,13,new_york,1774.9,1786.01,1772.92,1785.2,13.089999999999918,10.299999999999956,1.9800000000000184,0.8099999999999454,0.151260504201683,0.1922330097087404,0.938120702826589,11.799999999999956,0.4800000000000182,5.7131329433124725,2.065416666666664,0.8928571428571429,1801.96,1784.72,1793.34,17.24000000000001,1,0,14,1774.91,1790.5824999999998,-1.1040000000004966,0,0,2022,2022Q3,-8.69,ok,2022-08-15T14:45:00+00:00,1776.97,-8.34,-2.77,10.38,-8.69,-9.04,-9.74
